category,title,tag,address,phone,homepage,sum_info,detail_info
카페,로라커피,읍성 루프탑 반려견동반 반려견 야경,"경주시 동문로 28, 2층",010-2429-3278,https://www.instagram.com/lola__coffee/ ,"대표메뉴 : 아메리카노 3,500원 아인슈페너 5,000원
영업시간 : 12:00-23:00
휴무일: 매주 월요일
주차 :?전용?주차장 없음, 동문로 노상 주차장 이용","경주읍성의 동문인 향일문 바로 건너편에 로라커피가 자리한다.
읍성이 한 눈에 내려다보이는 루프탑카페로 최근 새롭게 문을 연 곳이다.

이곳은 반려견 동반이 가능한 카페이다. 카페에 상주하는 반려견 로또와 라스가 손님들을 맞이한다.
2층과 3층 루프탑 공간이 마련되어 있고 2층에는 반려견 놀이터가 따로 준비되어 있다.
반려견을 동반하지 않는 고객들도 이용하는 카페이니 보호자의 주의와 관리가 필요하다.
3층 루프탑은 테이블 배치를 최소화하고 반려견들이 뛰어놀 수 있도록 인공잔디를 깔아 두었다.
읍성 야경을 감상하며 반려견과의 추억을 남겨 보자."
카페,이스트앵글,양남 동해안 오션뷰 베이커리 루프탑,경주시 양남면 해변공원길 4,054-771-4131,,"대표메뉴 : 해수염커피 7,000원, 이스트모히토 7,000원 / 베이커리류 5~7,000원대
영업시간 : 10:00-21:30(금,토,일 22:00까지)
휴무일 : 연중무휴
주차 : 전용 주차장 이용","따끈따끈한 신상카페이다. 양남 주상절리와 관성솔밭해변의 사이인 수렴리 바닷가에 자리한다.
규모가 큰 베이커리 카페로 야외 공간, 2층으로 이루어진 본관, 1층 별관이 있고, 3층 루프탑 공간까지 마련되어 있다.
바다 쪽으로 커다란 통유리창이 내어져 있어 바다전망이 일품이다.

매장에서 매일 직접 빵을 구워내 갓 구운 빵의 행복함을 맛볼 수 있는 곳이다.
음료 메뉴 중에서는 감포 바다를 닮은 ‘해수염커피’가 시그니처인데 아인슈페너의 부드러운 크림위에 소금이 뿌려진 ‘솔티드 커피(salted coffee)’이다."
카페,스타트커피,감포 동해안 바다 오션뷰 따뜻 전망,경주시 감포읍 동해안로 1862,010-8855-6808,,"대표메뉴 : 아메리카노 4,000원 스타트커피 6,000원
영업시간 : 10:00-20:30
휴무일: 연중무휴
주차 : 전용 주차장 이용","감포 나정항 인근에 자리한 카페이다.
내부는 모던하면서도 원목이 더해진 따뜻한 인테리어가 돋보인다.
뭐니뭐니해도 스타트커피의 포인트는 ‘전망이 있는 카페’라는 점.
창가 어느 자리에 앉건 바다 전망이 기다리고 있다.

밀크티, 초코라떼, 말차라떼 등 수제로 만드는 보틀음료와 딸기라떼, 수박주스 등 제철 식재료를 활용해 시즌 마다 특별히 내놓는 음료도 신선하다."
카페,카페 메이플,불국사 정원 불리단길 와플,경주시 영불로 262,054-772-5959,https://www.instagram.com/_cafe_maple/,"대표메뉴 : 아메리카노 5,000원 / 와플 4,000원
영업시간 : 10:00-19:00
휴무일 : 매주 월요일
주차 : 전용 주차장 이용
편의시설 : 예약, 주차, 무선인터넷, 화장실, 야외 반려동물 동반","단청이 멋스러운 한옥건물과 탁 트인 야외정원이 인상적인 불국사 앞 카페이다.
큰 창이 곳곳에 내어져 바깥의 봄 풍경을 안으로 끌어들인 실내공간의 인테리어가 돋보인다.
실내도 좋지만 무엇보다 카페 메이플의 인기 스팟은 야외 테라스.
잔디마당 주변으로 곳곳에 좌석이 배치되어 있어 느긋하게 봄 햇살을 누리기 좋다.

카페에서는 엄선한 원두로 신선하게 내어 놓는 커피류와 수제청으로 만든 에이드 등 다양한 음료를 맛볼 수 있다.
하겐다즈 아이스크림을 올린 와플이 대표적인 디저트 메뉴. 당 충전하며 기분전환 해보자."
카페,카페 우드페커(in 허브캐슬),허브캐슬 정원 피크닉 셀프촬영 촬영 스몰웨딩 웨딩,경주시 외동읍 모화북1길 158-81,010-4334-0890,https://www.instagram.com/woodpecker_tm/,"대표메뉴 : 아메리카노 4,500원 / 카페라떼 5,000원
영업시간 : 10:30-21:00
휴무일 : 매주 월요일
주차 : 전용 주차장 이용
편의시설 : 주차, 예약, 장소대여, 촬영, 무선인터넷","경주와 울산의 경계에 있는 외동읍 모화리의 삼태봉 기슭에 숲 속 그림 같은 카페 ‘우드페커’가 있다.
야외스몰웨딩과 브라이덜샤워, 돌잔치 등의 파티 공간 대여 서비스를 하는 허브캐슬 내에 있는 카페이다.
카페 입구로 들어서면 새 순이 돋아나는 잔디마당이 먼저 반긴다. 카페에서 대여하는 피크닉매트를 들고 나와 야외 커피타임을 즐기기 좋은 스팟이다.

또, 셀프촬영을 할 수 있는 곳이라 가족, 연인들이 많이 찾는데 카페에 준비된 촬영소품을 무료 대여해 촬영을 할 수 있다.
포토그래퍼가 있어 전문적인 촬영 서비스를 이용할 수도 있다.
음료 메뉴로 다양한 허브티가 준비되어 있고, 시그니처는 라벤더 크림 커피가 있다. 허브 향이 은은하게 풍기는 달콤한 라떼이다."
카페,로머스 커피,불국사 포토존 촬영 불리단길 샌드위치,경주시 불국신택지7길 11,054-746-6848,https://www.instagram.com/roamerscoffee,"대표메뉴 : 아이스플랫화이트 4,500원 / 흑임자크림라떼 5,500원
영업시간 : 09:00-20:00(월요일 18:00까지)
휴무일 : 매주 화요일
주차 : 전용 주차장 이용
편의시설 : 현금/카드결제, 무선인터넷, 남/여 화장실구분, 포장","한 폭의 그림이 카페 안으로 들어온다. 요즘 인기 있는 액자식 창문이 불국사 앞 카페 ‘로머스커피’에도 있다.
모던한 분위기의 카페로, 유명한 카페 포토존은 2층에 있다. 창문 앞의 좌석은 항상 경쟁이 치열한 편.

고소한 흑임자 크림이 인상적인 흑임자 크림라떼와 깔끔한 플랫화이트가 로머스커피의 시그니처 커피메뉴이다.
커피와 함께 곁들일 수 있는 디저트도 인기인데,
매일 매장에서 직접 소량씩 구워 내는 베이커리를 비롯해 크루아상 샌드위치가 준비되어 있다."
카페,이이로 커피,황리단길 한옥 포토존 촬영 반려견동반 반려견 ,경주시 첨성로 99번길 22,010-6619-8788,https://www.instagram.com/eero_coffee,"대표메뉴 : 이이로 샌드위치 8,700원 / 자몽소다 6,500원 / 커피류 4,500~?
영업시간 : 11:00-21:00
휴무일 : 연중무휴
주차 : 황남동 공용주차장(황남동 280, 무료), 대릉원 공영주차장(황남동 157-4, 한시적 무료) 이용
편의시설 : 현금/카드결제, 무선인터넷, 남/여 화장실구분, 포장, 반려동물 동반","황리단길에 자리한 멋스러운 2층 한옥카페이다.
야외 공간에 멋진 포토존이 있는 것으로 유명하다.
고택에서 볼 수 있는 헛담 형식으로, 기와를 얹은 담벼락에 원형의 창이 내어져 있다.
예스러운 것에 트렌디함을 더해 이이로커피만의 포토존이 탄생했다.

야외 공간 외에도 한옥 1,2층의 공간 역시 멋스럽게 꾸며져 있는데 특히, 2층은 3면이 개방형 창문이라 누마루에 앉아 있는 듯한 기분을 느낄 수 있다.?
포토존만으로 유명한 카페는 물론 아니다. 시그니처 메뉴로 ‘이이로 샌드위치’와 병 소다를 많이 찾는다.
야외 공간은 반려동물 동반도 가능해 반려인들에게도 입소문이 났다."
카페,카페 로드100,포토존 촬영 불국사 한옥 여유 휴식,경주시 보불로 100,054-741-7401,https://www.instagram.com/cafe_road100,"대표메뉴?: 브런치A 13,000원 / 커피류 5,000원~??
영업시간 : 10:00-22:30(브런치 주문 18:30까지)
휴무일 : 연중무휴
주차 : 전용 주차장 이용
편의시설 : 현금/카드결제, 무선인터넷, 남/여 화장실구분, 포장","보문관광단지와 불국사를 잇는 도로인 보불로 위에 카페 로드100이 있다.
모던한 느낌을 주는 2층의 양옥과 멋스러운 한옥 별관이 운영 중이다. 건축업계에 종사하는 주인장의 감각과 노하우가 더해진 공간들이다.
카페에 오는 사람들이 가장 크게 의미를 두는 ‘여유와 휴식’이라는 키워드를 카페 공간에 녹여냈다.

이국적인 분위기를 자아내는 양옥은 대부분의 벽면에 커다란 유리창을 내 카페 앞 한적한 들녘을 감상할 수 있게 했다.
특히, 양옥 건물 외부에는 한쪽 벽면이 액자처럼 커다랗게 뚫려 있는 공간이 있는데 SNS상에서 인생샷 포토존으로 떠올랐다.
고즈넉한 한옥 별채는 여유로운 분위기에서 티타임을 즐기기 좋다.

세심한 배려가 돋보이는 공간에서 즐기는 브런치. 시그니처 브런치와 파니니, 파스타샐러드가 인기메뉴이다.
바리스타의 손에서 내어지는 풍미 좋은 커피를 곁들이면 금상첨화. 브런치를 즐긴 후에는 포토존에서 인생샷을 꼭 남길 것."
카페,야생화일기,정원 사진 포토존 운곡 서원 숲,경주시 강동면 오금큰길 332-3,054-761-5556,,"대표메뉴 : 아메리카노 5,500원 제철과일 티 주스 6,500원
영업시간 : 11:00 ?21:00
휴무일 : 매주 월요일
주차 : 전용주차장 있음
편의시설 : 현금/카드결제, 무선인터넷, 화장실, 야생화정원 노키즈존","숲 속의 비밀스러운 나만의 아지트 같은 첫 인상을 주는 강동면의 카페 ‘야생화일기’.
가을철 은행나무 포토존으로 유명한 운곡서원 인근에 자리해 있다.

카페 공간보다 훨씬 넓은 정원은 마치 야생화 박물관을 방불케 한다.
사계절 푸른 소나무와 각종 수목을 비롯해, 쉽게 볼 수 없는 귀한 야생화들을 구석구석에서 만날 수 있다.
내부공간의 아늑한 인테리어도 눈길을 사로잡는다.
독특한 조명이 분위기를 더하고, 야외정원을 안에서도 오롯이 감상할 수 있도록 2면의 벽에 커다란 유리창이 내어져 있다.
커피류와 전통차, 홈메이드 티주스가 준비되어 있다."
카페,카페 수피아,남산 강식당 촬영지 TV촬영 동남산 한옥,경상북도 경주시 새남산길 57 (남산동),054-774-7487,https://www.instagram.com/cafe_supia/,"대표메뉴 : 아메리카노 4,000원 / 수제과일티 5,500원
영업시간 : 10:30-20:00(동절기 19:00까지)
휴무일 : 매주 수요일
주차 : 전용주차장 있음
편의시설 : 현금/카드결제, 화장실, 무선인터넷, 단체석","카페 수피아는 동남산 가는 길 중에 만날 수 있다. 경상북도 산림환경연구원에서 통일전 방향, 화랑교육원 바로 옆에 자리하고 있다.?
창 밖의 울창한 송림 뷰(view)가 인상적인 한옥카페이다.
일부 벽면을 제외하고 목재를 대부분 사용해 따뜻하고 고즈넉한 느낌을 준다.?

최근 인기리에 방영된 예능 프로그램 '강식당'의 촬영지로 알려진 곳이다. 카페 외부에는 당시 사용했던 분식집 간판이 여전히 걸려 있다.
아메리카노 등 커피류와 함께 수제 과일차가 맛있다. 음료와 함께 곁들이는 케이크 등의 디저트도 준비되어 있다."
